Scopus - Analyze author output

"Author name:","Anoop, T. V."
"Scopus author ID:","26427943300"

"Co-authors:","6"

"Co-author","Co-authored documents"

"Drábek,Pavel","3"
"Sasi,Sarath","3"
"Lucia,Marcello","1"
"Tyagi,Jagmohan","1"
"Sankar,Lakshmi","1"
"Ramaswamy,MythilyA.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
