Scopus - Analyze author output

"Author name:","Nair, Manoj Thamban"
"Scopus author ID:","7202870811"

"Co-authors:","22"

"Co-author","Co-authored documents"

"Kulkarni,SushilH.","5"
"Sengupta,TapanK.","5"
"George,Santhosh","5"
"Mahale,Pallavi","4"
"Saxena,SushilKumar","4"
"Kumar,Naresh","4"
"Tautenhahn,Ulrich","3"
"Rajan,M.P.","3"
"Ravishankar,P.","2"
"Lal,Shine","2"
"Deepesh,K.P.","2"
"Anderssen,RobertS.","2"
"Jana,Ajoy","2"
"Limaye,BalmohanV.","2"
"Rana,V.","1"
"Schock,Eberhard","1"
"Sengupta,T.K.","1"
"Namboodiri,M.NN","1"
"Ramesh,GirishM.","1"
"Chauhan,UmendraS.","1"
"Pereverzev,SergeiV.","1"
"Hegland,Markus","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
