Scopus - Analyze author output

"Author name:","Ponnusamy, Saminathan"
"Scopus author ID:","6701321509"

"Co-authors:","66"

"Co-author","Co-authored documents"

"Wang,Xiantao","23"
"Obradović,MilutinČ","22"
"Chen,Shaolin","15"
"Vuorinen,MattiK.","13"
"Chen,Sh","12"
"Wirths,KarlJoachim","11"
"Baricz,Árpád","11"
"Li,Liulan","10"
"Wang,Xiantao","9"
"Balasubramanian,Ramachandran","9"
"Huang,Manzi","9"
"Rasila,Antti","8"
"Vasudevarao,Allu","6"
"Sahoo,SrinibasK.","6"
"Singh,Sanjeev","5"
"Yanagihara,Hiroshi","5"
"Bhowmik,Bappaditya","5"
"Naik,Sunanda","4"
"SairamKaliraj,Anbareeswaran","4"
"Sugawa,Toshiyuki","4"
"Kim,Yongchan","3"
"Qiao,Jinjing","3"
"Bharanedhar,S.Vaidhyanathan","3"
"Prabhakaran,D.J.","3"
"Vasundhra,P.","3"
"Rønning,Frode","2"
"Kaliraj,AnbareeswaranSairam","2"
"Müller,Jürgen","2"
"Singh,VinayPratap","2"
"Hästö,PeterA.","2"
"Starkov,VictorV.","2"
"Sahoo,SwadeshKumar","2"
"Li,Yaxiang","2"
"Ali,RosihanMohamed","2"
"AbuMuhanna,Yusuf","2"
"Qiao,Jinjing","2"
"Singh,Vikramaditya","2"
"Kalaj,David","2"
"Vasundhra,P.","1"
"Sharma,NavneetLal","1"
"Rudas,ImreJ.","1"
"Okada,M.","1"
"Jahangiri,JayM.","1"
"Pogány,TiborK.","1"
"Choi,Jaeho","1"
"Mao,Zh","1"
"Sahoo,Pravati","1"
"Quach,Tri","1"
"Nezhmetdinov,I.R.","1"
"Muhanna,YusufAbu","1"
"Parvatham,R.","1"
"Kalpakam,N.V.","1"
"Yamamoto,H.","1"
"Graf,SergeyYu","1"
"Obradović,MarijaD.","1"
"Bharanedhar,Vaidhyanathan","1"
"Chu,Y.","1"
"Maširević,DraganaJankov","1"
"Luh,Wolfgang","1"
"Howlett,PhilG.","1"
"Agrawal,ManjuRani","1"
"Barnard,RogerW.","1"
"Wang,Haichao","1"
"Lucas,StephenK.","1"
"Tuneski,Nikola","1"
"Karunakaran,V.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
