Scopus - Analyze author output

"Author name:","Manathara, Joel George"
"Scopus author ID:","36107056500"

"Co-authors:","8"

"Co-author","Co-authored documents"

"Ghose,Debasish","3"
"Sujit,P.B.","2"
"Kothari,Mangal","2"
"Beard,RandalW.","1"
"Postlethwaite,Ian","1"
"DeSousa,JoãoBorgesBorges","1"
"Dukkipati,Ambedkar","1"
"Postlethwaite,Ian","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
