Scopus - Analyze author output

"Author name:","Nagendra Gopal, K. V."
"Scopus author ID:","56298415400"

"Co-authors:","3"

"Co-author","Co-authored documents"

"Chandra,NishantHarish","1"
"Asdev,Jasraj","1"
"Raja,S.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
