Scopus - Analyze author output

"Author name:","Panchapakesan, N. R."
"Scopus author ID:","56634175400"

"Co-authors:","4"

"Co-author","Co-authored documents"

"Gopalakrishnan,KarthikV.","2"
"Murthy,B.SR","2"
"Sridhar,B.L.","1"
"Nagalingam,B.N.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
