Scopus - Analyze author output

"Author name:","SKM, Varadhan"
"Scopus author ID:","26634511000"

"Co-authors:","4"

"Co-author","Co-authored documents"

"Latash,MarkL.","3"
"Zatsiorsky,VladimirM.","3"
"Friedman,Jason","1"
"Zhang,Wei","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
