Scopus - Analyze author output

"Author name:","Narasimhamurthy, Vagesh D."
"Scopus author ID:","24830714000"

"Co-authors:","41"

"Co-author","Co-authored documents"

"Andersson,HelgeI.","23"
"Pettersen,BjørnarHauknes","15"
"Yang,Dan","6"
"Skjold,Trygve","5"
"Proust,ChristopheH.","3"
"Gant,SimonE.","3"
"Dadmarzi,FatemehHoseini","3"
"Jamois,Didier","3"
"Tsangaris,DimitriosM.","2"
"Hébrard,Jérôme","2"
"Mahgerefteh,Haroun","2"
"Economou,IoannisG.","2"
"Brown,Solomon","2"
"Storvik,IdarE.","2"
"Chen,Shaoyun","2"
"Wareing,ChristopherJohn","2"
"Woolley,RobertM.","2"
"Diamantonis,NikolaosI.","2"
"Fairweather,Michael","2"
"Boulougouris,GeorgiosC.","2"
"Falle,SamuelAEG","2"
"Martynov,Sergey","2"
"Bernard,Laurence","1"
"Pesch,Lars","1"
"Enstad,G.A.","1"
"Mauri,Lorenzo","1"
"Sælen,Lene","1"
"Middha,Prankul","1"
"Huang,Zhiyong","1"
"Lea,Tommy","1"
"Landvik,Thomas","1"
"Zhang,Yongchun","1"
"Hisken,H.","1"
"Zhang,Yongchun","1"
"Wardman,MikeJ.","1"
"Lakshmipathy,Sunil","1"
"Wilday,Jill","1"
"Khaledi,HatefA.","1"
"Pedersen,HeleneH.","1"
"Cuscó,LaurenceC.","1"
"Ellingsen,SimenÅdnøy","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
