Scopus - Analyze author output

"Author name:","Ali, Shaikh Faruque"
"Scopus author ID:","35617044000"

"Co-authors:","39"

"Co-author","Co-authored documents"

"Friswell,MichaelI.","13"
"Adhikari,Sondipon","11"
"Bilgen,Onur","7"
"Ramaswamy,Ananth","7"
"Litak,Grzegorz","7"
"Padhi,Radhakant","6"
"Ramaswamy,Ananth","4"
"Jaksic,Vesna","3"
"Pakrashi,Vikram","3"
"Lees,ArthurW.","3"
"Malaji,P.V.","3"
"Murphy,JimmyN.","2"
"Wright,CarterS.","2"
"Arockiarajan,Arunachalakasi","2"
"Mandić,DaniloPD","1"
"Kumar,Aravind","1"
"Chanayil,Afeef","1"
"AravindKumar,K.","1"
"Rajarathinam,M.","1"
"Dipak,S.","1"
"Afeef,C.","1"
"Rafaralahy,Hugues","1"
"Narayanan,SrihariShankaraYegna","1"
"Karthik,KowshickS.","1"
"Boutayeb,Mohamed","1"
"Cahill,Paul","1"
"Jeandel,GérardE.","1"
"DeAngelis,Marco","1"
"Keane,John","1"
"Borowiec,Marek","1"
"Agarwal,AnilK.","1"
"Mathewson,Alan","1"
"Coccolo,Mattia","1"
"Didier,Gaëtan","1"
"Delattre,Cédric","1"
"Samui,Pijush","1"
"O'Sullivan,Anthony","1"
"Madhav,Ch","1"
"Pradeesh,L.Vishnu","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
