Scopus - Analyze author output

"Author name:","Prakash, Kiran Arul"
"Scopus author ID:","14049823500"

"Co-authors:","13"

"Co-author","Co-authored documents"

"Vengadesan,SankaranarayananN.","4"
"Biswas,Gautam","3"
"Paul,Immanuvel","3"
"Lam,PrasanthAnandKumar","2"
"Kumar,BhishmVeerendraRathishPhani","2"
"Pulletikurthi,V.","1"
"Kumar,BhaskarVijayRathish","1"
"ShurafathBeevi,J.A.","1"
"RebyRoy,K.E.","1"
"Rao,N.Parameswara","1"
"Naik,SandeepN.","1"
"Mohan,Ranjith","1"
"Kaushik,Harshal","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
