Scopus - Analyze author output

"Author name:","Panchagnula, Mahesh V."
"Scopus author ID:","6507124284"

"Co-authors:","62"

"Co-author","Co-authored documents"

"Neti,Sudhakar","9"
"Vedantam,Srikanth","9"
"Öztekin,Alparslan","6"
"Anantharaju,Neeharika","6"
"Vadivukkarasan,M.","5"
"Sojka,PaulE.","5"
"Peddieson,John","5"
"Rayapati,NarayanaP.","4"
"Vempati,Bhadraiah","4"
"Bhosale,PrasadS.","4"
"Bhamidipati,Srimani","3"
"Janardan,NachiketaACHIKETA","3"
"Mahapatra,PallabSinha","3"
"Prabhala,BharadwajR.","2"
"Tatić-Lučić,Svetlana","2"
"Chen,John","2"
"Vishnu,R.","2"
"Pawar,SamadhanA.","2"
"Subramanian,VenkatR.","2"
"Colistra,JoshuaH.","2"
"Mukhopadhyay,Achintya","1"
"Sujith,RamanI.","1"
"Subramaniam,Shankar","1"
"Plesniak,MichaelW.","1"
"SrinivasaRao,PyataVLN","1"
"Santangelo,PhilipJ.","1"
"Sachan,Alok","1"
"Lee,JaeBong","1"
"Kwon,Yongtae","1"
"Kimsey,Wayne","1"
"Mohan,Alladi","1"
"Kolakaluri,Ravi","1"
"Ramadesigan,Venkatasailanathan","1"
"Cui,Jie","1"
"Mathew,Sam","1"
"Boovaragavan,Vijayasekaran","1"
"Krishnaprasanthi,P.","1"
"Stretz,HollyA.","1"
"Perisetty,JyothiS.","1"
"Bajaj,AnilK.","1"
"Choi,Seungyul","1"
"Mukhopadhyay,Achintya","1"
"Raman,Sujith","1"
"Bush,StephanG.","1"
"Bennett,J.B.","1"
"Lund,MarkT.","1"
"Patankar,NeeleshA.","1"
"Gore,JayP.","1"
"Short,John","1"
"AparnaReddy,S.","1"
"Orekhov,ViktorL.","1"
"Sarma,KadaintiVsS","1"
"Kandlakunta,Sahithi","1"
"Alladi,Mohan","1"
"BORMASHENKO,E.DWARD","1"
"PrabathKumar,D.","1"
"KarthigaDevi,S.G.","1"
"SiddharthaKumar,B.","1"
"Bonkinpillewar,PavanD.","1"
"Jian,ChrisQ.","1"
"Kulkarni,Ajinkya","1"
"Smith,StevenP.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
