Scopus - Analyze author output

"Author name:","Srinivasan, Sivakumar M."
"Scopus author ID:","55236809800"

"Co-authors:","39"

"Co-author","Co-authored documents"

"Arockiarajan,Arunachalakasi","5"
"Maffeo,Bob","4"
"Bhuvaraghan,Baskaran","4"
"Santhanam,ManuS.","3"
"Prakash,Amar","3"
"Sujithra,R.","3"
"Shajil,N.","3"
"Prakash,Om","3"
"Pandit,D.","3"
"NageswaraRao,Boggarapu","2"
"Arun,C.O.","2"
"Balasubramaniam,KrishnanS.","2"
"Jayabal,Kaliappan","2"
"Rao,A.RamaMohan","2"
"Pradeep,K.R.","2"
"Rao,B.N.","2"
"Srinivasa,ArunR.","1"
"Abhinandan,T.S.","1"
"Chandrasekaran,L.","1"
"Thomas,Naijo","1"
"Marathe,MeeshawnS.","1"
"Sumanth,D.","1"
"Muthusamy,Prabha","1"
"Nallathambi,AshokKumar","1"
"LakshmanaRao,C.","1"
"Ganesh,N.Jeya","1"
"Maniprakash,S.","1"
"Preetish,K.L.","1"
"Priyadarsini,R.S.","1"
"Iyer,NageshR.","1"
"Menzel,Andreas","1"
"Rajendran,Prakash","1"
"Potdar,YogeshK.","1"
"Kannan,Srivatsan","1"
"Kalyanaraman,Venkatakrishnan","1"
"Patel,Bhakti","1"
"McClain,RobertD.","1"
"Srikrishna,D.","1"
"RamaMohanRao,A.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
