Scopus - Analyze author output

"Author name:","Sai, V. V R"
"Scopus author ID:","15521054200"

"Co-authors:","46"

"Co-author","Co-authored documents"

"Mukherji,Soumyo","8"
"Hrdlicka,PatrickJ.","5"
"Kundu,TapanenduK.","4"
"Satija,Jitendra","3"
"McIlroy,DavidN.","3"
"Ramakrishna,Bandaru","3"
"Niraula,IshwarB.","3"
"Corti,Giancarlo","3"
"Titus,Susan","2"
"Bharadwaj,Reshma","2"
"Hill,RodneyAllan","2"
"Branen,JoshR.","2"
"Papasani,MadhusudhanReddy","2"
"EricAston,D.","2"
"Dhawangale,Arvind","1"
"Verma,PradeepKumar","1"
"FouetioKengne,BlaiseAlexis","1"
"Vasanthakumari,Priyanka","1"
"Deepu,A.","1"
"Larin,AlexanderV.","1"
"Sowell,Dewayne","1"
"Jabal,JamieMF","1"
"Häll,JessicaS.","1"
"Deshmukh,Chitra","1"
"Punjabi,Nirmal","1"
"Giri,Anjil","1"
"Contractor,AliasgarQutub","1"
"Cheguru,Pallavi","1"
"Mukherjee,SaurabhD.","1"
"Karmakar,Saswata","1"
"Gowri,AsaithambiMangala","1"
"Thakare,Kamini","1"
"Dutta,Rani","1"
"Kumar,PreadeepS.","1"
"Khosravi,Zohreh","1"
"Gangaden,Devananda","1"
"Gangadean,DevanandaN.","1"
"Pokharel,Deep","1"
"Østergaard,MichaelE.","1"
"Kaura,Mamta","1"
"Dobrokhotov,VladimirV.","1"
"Titas,S.","1"
"Mahajan,Sumeet","1"
"Klages,ClausPeter","1"
"Wengel,Jesper","1"
"Kumar,PradeepK.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
