Scopus - Analyze author output

"Author name:","Shanmugam, Palanisamy"
"Scopus author ID:","10144069600"

"Co-authors:","60"

"Co-author","Co-authored documents"

"Ahn,Yuhwan","20"
"Natarajan,RajamaniN.","7"
"Sundarabalan,Balasubramanian","7"
"Ryu,Joohyung","7"
"Tiwari,SuryaPrakash","4"
"Dev,PravinJeba","4"
"Kulshreshtha,Anuj","4"
"Singh,RakeshKumar","4"
"Chaturvedi,SudhirKumar","3"
"Gokul,ElamuruguAlias","3"
"Moon,Jeongeon","3"
"Pathak,SaumitrD.","3"
"Varunan,Theenathayalan","2"
"Bhattacharya,SubramshuS.","2"
"Guven,Ugur","2"
"Nasiha,HussainJ.","2"
"Sahu,SanjayKumar","2"
"Murali,KantharajV.","2"
"Scaria,SajumonV.","2"
"Kumaran,ChittuR.","2"
"RamachandraRao,M.S.","2"
"Sahay,Arvind","2"
"Yang,Chansu","2"
"Chauhan,PrakashKS","2"
"Simon,Arthi","2"
"Chandran,Maneesh","2"
"Kang,YongQuin","1"
"Karthikeyan,K.R.","1"
"Ouchi,Kazuo","1"
"Hariharasudhan,V.G.","1"
"Vadakke-Chanat,Sayoob","1"
"RajendraUdupa,K.","1"
"Hong,Gihoon","1"
"Yang,Chansu","1"
"Suk,Bongchool","1"
"Lee,Kyusung","1"
"Suresh,MuthusamyV.","1"
"Venkataraman,NelloreSrinivasan","1"
"PrasadRao,P.","1"
"Neelamani,Subram","1"
"Philip,LigyK.","1"
"Manjusha,Sadasivan","1"
"Sanjeevi,Shanmugam","1"
"Rit,AmitKumar","1"
"Jeong,Jongchul","1"
"Gowthama,S.","1"
"Tellis,CherylMaria","1"
"Lee,Jaehak","1"
"Preethi,M.","1"
"Tholkapiyan,Muniyandi","1"
"Dumpala,Ravikumar","1"
"Min,JeeEun","1"
"Yoo,HongRhyong","1"
"Vigneshwaran,J.","1"
"Suresh,T.V.","1"
"SenthilKumar,S.RRajagopal","1"
"VijayaDurgaPrasad,T.","1"
"Ram,PrakyaShree","1"
"Jana,BiswanathD.","1"
"NagendraJaiganesh,S.N.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
