Scopus - Analyze author output

"Author name:","Chandrasekaran, Srinivasan"
"Scopus author ID:","55446021000"

"Co-authors:","5"

"Co-author","Co-authored documents"

"Amarkarthik,Arunachalam","2"
"Sivakumar,Karuppan","2"
"Sidney,Shaji","1"
"Sinhmar,Harender","1"
"Selvamuthukumaran,Dhanasekaran","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
