Scopus - Analyze author output

"Author name:","Sundar, Vallam S."
"Scopus author ID:","7005380538"

"Co-authors:","81"

"Co-author","Co-authored documents"

"Sannasiraj,SannasiAnnamalaisamy","47"
"Sundaravadivelu,Renganathan","18"
"Murali,KantharajV.","11"
"Graw,KaiUwe","9"
"Dhinakaran,Govindasamy","8"
"Holz,KlausPeter","8"
"Balaji,Ramakrishnan","8"
"Sriram,Venkatachalam","7"
"Nasar,T.","7"
"Anand,KarurVaideeswaran","6"
"Raman,Harihara","6"
"Noarayanan,Lakshmanan","6"
"Neelamani,Subram","6"
"Noethel,Herwis","6"
"Manohar,ChandwaniS.","5"
"Rao,Sandhya","5"
"Schlenkhoff,AndreasU.","4"
"Shankar,JothiJothi","4"
"Ananth,P.N.","4"
"Vendhan,ChiruvaiP.","4"
"Subbiah,Kesavan","4"
"Krishnakumar,C.","4"
"Sankarbabu,K.","3"
"Mathai,ThomasP.","3"
"Behera,ManasaRanjan","3"
"Mallayachari,V.","3"
"Roopsekhar,KaranamAppaswamyPillai","3"
"Suresh,P.K.","3"
"Kaldenhoff,Hans","2"
"JohnAshlin,S.","2"
"Anandkumar,G.","2"
"Dakshinamoorthy,S.","2"
"Babu,M.Ram","2"
"Kumar,NavneetDarga","2"
"Vengatesan,V.","2"
"NarasimhaRao,S.","2"
"Sarma,K.GS","2"
"Schlurmann,Torsten","2"
"Jothishankar,N.","1"
"Laju,Kottalil","1"
"Kumar,E.Dinesh","1"
"Sarma,S.S.","1"
"Subbiah,K.","1"
"SubbaRao,B.VV","1"
"Maiti,D.K.","1"
"Rao,T.VSN","1"
"Rangarao,V.","1"
"Rambabu,M.","1"
"Wilbert,R.","1"
"Ammanagi,Somayya","1"
"Koola,PaulMario","1"
"Selvaraja,A.","1"
"Kannan,Rohit","1"
"Nöthel,Horst","1"
"Noethel,N.","1"
"Polnikov,V.G.","1"
"Abbasi,MahmoudReza","1"
"AnandKumar,G.S.","1"
"Nagabhushan,N.","1"
"RamBabu,M.","1"
"Subbarao,B.VV","1"
"Lakshmanan,Noarayanan","1"
"Bharatkumar,B.H.","1"
"Kantharaj,Murali","1"
"Raju,VegesnaSreeRama","1"
"Janardanan,K.","1"
"Prabhakar,Vivek","1"
"Kalyani,M.","1"
"Setti,Kannayya","1"
"Moan,Torgeir","1"
"Stephen,JermieJ.","1"
"Purushotham,S.","1"
"Mahadevan,R.","1"
"Venkatraman,M.","1"
"Ragu,V.","1"
"NarasimhaRao,ThotaVS","1"
"Rao,T.Surya","1"
"Ramachandran,C.","1"
"Todalshaug,JørgenHals","1"
"MadhuSudhan,Ch","1"
"MURALIKRISHNA,I.V.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
