Scopus - Analyze author output

"Author name:","Rajagopal, Prabhu"
"Scopus author ID:","15136645300"

"Co-authors:","49"

"Co-author","Co-authored documents"

"Balasubramaniam,KrishnanS.","19"
"Lowe,Michael","12"
"Manogharan,Prabhakaran","8"
"Yu,Xudong","6"
"Skelton,ElizabethA.","5"
"Craster,RichardV.","5"
"Pattanayak,RosonKumar","5"
"Periyannan,Suresh","4"
"Fan,Zheng","3"
"Krishnamurthy,ChittivenkataV.","3"
"Fan,Zheng","3"
"Srinivasan,BalajiVasan","2"
"Ratassepp,Madis","2"
"Ray,Pabitro","2"
"Ramdhas,Abilasha","2"
"Choi,Wonjae","2"
"Drozdz,Mickael","2"
"Subair,S.Mohamed","1"
"Maddu,Shankar","1"
"Padmanabham,Gadhe","1"
"Russell,JonathanD.","1"
"Thomas,K.Renil","1"
"Verma,Bhupesh","1"
"Psuj,Grzegorz","1"
"Szymanik,Barbara","1"
"Rao,Bhaskar","1"
"Udpa,Lalita","1"
"Panda,RabiSankar","1"
"Reghu,Manoj","1"
"Harish,AcharV.","1"
"Nithin,P.V.","1"
"Bélanger,Pierre","1"
"Puschmann,Markus","1"
"Amireddy,KiranKumar","1"
"Nahas,C.A.","1"
"Lopato,P.","1"
"Jayakumar,TammanaK.","1"
"Sikora,Ryszard","1"
"Kumar,Anish","1"
"Prabhakar,K.VPhani","1"
"Karpenko,OleksiiY.","1"
"Chady,Tomasz","1"
"Balasubramaniam,Krishnan","1"
"Unnikrishnakurup,Sreedhar","1"
"Riedel,FrankHelmut","1"
"Mishra,TarunKumar","1"
"Haq,Mahmoodul","1"
"Sukumaran,GauthamK.","1"
"Thakare,DhawalR.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
