Scopus - Analyze author output

"Author name:","Sahu, Srikrishna"
"Scopus author ID:","36509372100"

"Co-authors:","5"

"Co-author","Co-authored documents"

"Taylor,AlexanderMKP","5"
"Hardalupas,Yannis","5"
"Zarogoulidis,Konstantinos","2"
"Muralidhar,KrishnamurthyV.","1"
"Panigrahi,PradiptaKumar","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
