Scopus - Analyze author output

"Author name:","Pandey, Manoj"
"Scopus author ID:","56289157600"

"Co-authors:","6"

"Co-author","Co-authored documents"

"Kumar,NitinKiran","3"
"Rajagopal,Amirtham","2"
"Khan,Zeba","1"
"Lambadi,Harish","1"
"Chauhan,Rahul","1"
"Amirtham,Rajagopal","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
