Scopus - Analyze author output

"Author name:","Mallikarjuna, Jawali Maharudrappa"
"Scopus author ID:","6505887097"

"Co-authors:","41"

"Co-author","Co-authored documents"

"Ganesan,VenkitachalamS.","16"
"Ramesh,AsvathanarayananA.","7"
"MuraliKrishna,BalaC.","5"
"Venkitachalam,Ganesan","5"
"SureshKumar,J.","4"
"GnanaSagayaRaj,AntonyRaj","4"
"Govindarajan,Srinivasan","4"
"Harshavardhan,Ballapu","4"
"Sudheesh,K.","4"
"Subramanian,Venkatachalam","3"
"Krishna,BinduMurali","3"
"RamachandraBabu,Y.","2"
"Kumar,Davinder","2"
"Sureshkumar,Jayanthamani","2"
"Krishna,AddepalliS.","2"
"Elayaraja,R.","2"
"SwamiNathan,S.","2"
"Reddy,SwathiManohar","1"
"Mathivanan,K.","1"
"HariGanesh,R.","1"
"Addepalli,S.Krishna","1"
"MuraliKrishna,B.","1"
"Rajan,Vikas","1"
"Keshavamurthy,Ramaiah","1"
"Jagadeesh,S.K.","1"
"ManoharReddy,S.","1"
"Vikas,Rastogi","1"
"Addepalli,Krishna","1"
"Krishna,Murali","1"
"Purushothama,H.R.","1"
"Bijucherian,A.","1"
"Babu,MannamNagaPraveen","1"
"SagayaRaj,A.Gnana","1"
"Sharma,RajeshP.","1"
"Ramesh,ChinnakurliSuryanarayana","1"
"Balasubramanian,Viswanathan","1"
"Nathan,StuartSwami","1"
"Agrawal,Vivek","1"
"Davinder,Kumar","1"
"Kumar,T.Anand","1"
"Krishnankutty,Parameswaran","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
