Scopus - Analyze author output

"Author name:","Sethuraman, Raju"
"Scopus author ID:","7003323279"

"Co-authors:","36"

"Co-author","Co-authored documents"

"Ganesan,Natrajan","15"
"Kumaravel,A.","6"
"Maiti,SurjyaK.","4"
"Balasubramaniam,Ramya","4"
"Sharnappa","4"
"Sen,Subhajyoti","4"
"Kumar,BoorleRajesh","4"
"Chellapandi,Perumal","2"
"Dhar,Sankar","2"
"Bhoje,VidyaS.","2"
"Dixit,PrakashM.","2"
"Desikan,V.","1"
"Reddy,G.SS","1"
"Rao,C.Lakshmana","1"
"ThangaIlango,I.","1"
"Thomas,S.B.","1"
"Lal,G.K.","1"
"Ramesh,KrishnamurthiS.","1"
"LakshmanaRao,C.","1"
"Burande,S.","1"
"Jahed,Hamid","1"
"Yadav,AbhishekK.","1"
"Boorle,RajeshKumar","1"
"JonesPraveen,J.","1"
"Reddy,CherkuSridhar","1"
"Hormis,J.V.","1"
"Reddy,NarsimhaVenkata","1"
"Mhaiskar,M.J.","1"
"Dubey,RajendraN.","1"
"Arockiarajan,Arunachalakasi","1"
"Kumar,T.SasiPrasanna","1"
"Ilango,I.Thanga","1"
"Rajesh,NatarajaR.","1"
"Sharnappa,S.","1"
"SridharReddy,Ch","1"
"ViswanadhaGupta,S.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
