Scopus - Analyze author output

"Author name:","Varunkumar, S."
"Scopus author ID:","51865030400"

"Co-authors:","3"

"Co-author","Co-authored documents"

"Mukunda,HanasogeS.","4"
"Rajan,NitinKS","3"
"Zaved,M.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
