Scopus - Analyze author output

"Author name:","Ramkumar, P."
"Scopus author ID:","12345166600"

"Co-authors:","8"

"Co-author","Co-authored documents"

"Wang,Ling","3"
"Harvey,TerryJ.","3"
"Harrison,JamesJ.","3"
"Powrie,HonorEG","3"
"Wood,RobertJK","3"
"Yamaguchi,Elaine","3"
"Nelson,KenD.","3"
"Otin,N.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
