Scopus - Analyze author output

"Author name:","Annabattula, Ratna Kumar"
"Scopus author ID:","24823999900"

"Co-authors:","38"

"Co-author","Co-authored documents"

"Onck,PatrickR.","7"
"Kamlah,M.","6"
"Gan,Yixiang","6"
"Schmidt,OliverG.","2"
"Mei,Yongfeng","2"
"Chen,Zhen","2"
"Kolb,MatthiasHH","2"
"Shen,Yaogen","2"
"Hernández,FranciscoAlvaradoMarquez","2"
"Shen,Luming","2"
"Flores-Johnson,E.A.","2"
"Rolli,Rolf","1"
"VanLew,JonT.","1"
"V.d.Weth,A.","1"
"Sen,A.K.","1"
"Hanaor,DorianAmirHenry","1"
"Magielsen,LidaJ.","1"
"VanDerLaan,JaapG.","1"
"Enoeda,Mikio","1"
"VanTil,Sander","1"
"Injeti,SaiSharan","1"
"Knitter,Regina","1"
"Tanigawa,Hisashi","1"
"DiMaio,P.A.","1"
"Pereslavtsev,PavelE.","1"
"Veenstra,J.M.","1"
"Boccaccini,LorenzoVirgillio","1"
"Jog,ChandrashekharS.","1"
"Desu,RaghuramKarthik","1"
"Raj,A.","1"
"Reimann,Joerg","1"
"Huck,WilhelmTS","1"
"Iyer,V.","1"
"Malachias,ÂngeloS.","1"
"Dell'Orco,Giovanni","1"
"Zhao,Shuo","1"
"Ying,Alice","1"
"Deneke,ChristophF.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
