Scopus - Analyze author output

"Author name:","Sekhar, A. Seshadri"
"Scopus author ID:","56417489200"

"Co-authors:","2"

"Co-author","Co-authored documents"

"Chandra,NishantHarish","1"
"Reddy,M.ChandraSekhar","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
