Scopus - Analyze author output

"Author name:","Pushpavanam, Subramaniam"
"Scopus author ID:","55109843700"

"Co-authors:","121"

"Co-author","Co-authored documents"

"Picardo,JasonRyan","14"
"Kienle,Achim","13"
"Zeyer,KlausPeter","7"
"Renganathan,Thiruvengadam","6"
"Pillai,DipinS.","6"
"Balasubramanian,Periyasamy","4"
"Vir,AnilB.","4"
"Narayanan,RangaAravinda","4"
"Selvaraju,N.","4"
"Shukla,PavanKumar","3"
"ReddyCherlo,SivaKumar","3"
"Malengier,Benny","3"
"Sundararajan,Thirumalachari","3"
"Kumar,MantravadiVasudeva","3"
"Srinivas,BhadriK.","3"
"AshrafAli,B.","3"
"Garg,P.","3"
"Swernath,Subramanian","3"
"Ali,BasheerAshraf","3"
"Voolapalli,RaviKumar","3"
"Sridhar,Parthasarathi","2"
"Gnanamani,Arumugam","2"
"Deshpande,AbhijitP.","2"
"Sreenath,K.","2"
"Cho,Youngsang","2"
"Kaisare,NiketS.","2"
"Ramanathan,Karthik","2"
"Raut,AbhinavV.","2"
"Radhakrishna,T.G.","2"
"Ramji,Sundari","2"
"Manokaran,A.","2"
"Sahu,Avinash","2"
"Raju,VegesnaSreeRama","2"
"ANU,N.","2"
"Pawar,ShivajiHariba","2"
"Seidel-Morgenstern,AndreasA.","2"
"Kulkarni,AmolA.","2"
"Balaraman,KaluvuS.","2"
"Rao,Sanyasi","1"
"Molleti,L.NSurekha","1"
"D'Haeyer,Sam","1"
"Cherlo,S.KR","1"
"Sunkara,Koteswararao","1"
"Kumar,ChSiva","1"
"Krishnamoorthy,ChandramouleeP.","1"
"Kariveti,Sreenath","1"
"Rangabhashiyam,S.","1"
"Chellapandi,Perumal","1"
"Waschler,Roland","1"
"Thomas,Sascha","1"
"Paruya,Swapan","1"
"Devaki,K.","1"
"RaviKanth,M.VSR","1"
"Kaza,Marutiram","1"
"Gupta,ParthapratimSVNB","1"
"Vignesh,R.","1"
"Yadav,ManojV.","1"
"Rohiwal,SonaliS.","1"
"Painuly,Anil","1"
"Narasimha,MurtyB.","1"
"Sarkar,Sabita","1"
"Imam,RayeesAhamed","1"
"Kulkarni,ShekharR.","1"
"Gigras,Ankur","1"
"Bandaru,S.VSRKrishna","1"
"Gilles,ErnstDieter","1"
"Konnur,Rahul","1"
"Selvaraj,Ponnusamy","1"
"Tiwari,A.P.","1"
"Wolff,MichaelWerner","1"
"DavidImmanuel,Charles","1"
"Khot,Aditi","1"
"Narayanan,SrihariShankaraYegna","1"
"Khan,Imran","1"
"Bidyarani,Oinam","1"
"Satvekar,RajshriK.","1"
"Mangold,Michael","1"
"Tamalapakula,J.L.","1"
"Pitchumani,Sethuraman","1"
"Nanaware,S.G.","1"
"Nashine,B.K.","1"
"Dinesh,B.","1"
"Goyal,Anshul","1"
"Keßler,LarsChristian","1"
"Häfele,M.","1"
"Harmon,JeffL.","1"
"Goswami,Nababithi","1"
"Ravikiran,Anapagaddi","1"
"Fabiyan,A.S.","1"
"Narasimhan,Shankar","1"
"Jayant,Alok","1"
"Balleda,Anil","1"
"Iyer,ShachitS.","1"
"Agrawal,Gaurav","1"
"Vetukuri,SreeRamaRaju","1"
"Disli-Uslu,Iiknur","1"
"Ogunnaike,BabatundeA.","1"
"Bhagavatula,DineshNVSSR","1"
"Narayanan,PrasanthMoolakuzhy","1"
"Sudha,A.Jasmin","1"
"Krishna,VinodM.","1"
"VasudevaKumar,Mantravadi","1"
"Bhoite,MayurT.","1"
"Shukla,AjayKumar","1"
"Guruprasad,R.","1"
"Bettina,S.J.","1"
"SanyasiRao,V.N.","1"
"Kosuri,MadhavaR.","1"
"Yadav,HemrajMahipati","1"
"Reichi,Udo","1"
"Prasad,Kali","1"
"Bhatnagar,Ankit","1"
"Khanna,Ashok","1"
"JasminSudha,A.","1"
"Kumar,Manish","1"
"Sagale,AjitArjun","1"
"MurtyBhallamudi,S.","1"
"Mallikarjunan,Vishwanath","1"
"Dhirhi,Ravindra","1"
"Natchiar,Monisha","1"
"Schmidt,ChristianU.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
