Scopus - Analyze author output

"Author name:","Chetty, Raghuram"
"Scopus author ID:","16021279400"

"Co-authors:","30"

"Co-author","Co-authored documents"

"Maniam,KranthiKumar","9"
"Scott,Keith","7"
"Muhler,Martin","5"
"Schuhmann,Wolfgang","4"
"Kundu,Shankhamala","4"
"Bron,Michael","3"
"Xia,Wei","3"
"Fazil,A.","2"
"Keerthiga,Gopalram","2"
"Viswanathan,Balasubramanian","2"
"Reinecke,Thomas","2"
"Muthukumar,Volga","2"
"Rajmohan,K.S.","2"
"Golding,BernardT.","2"
"Christensen,PaulAndrew","2"
"Neelakantan,Lakshman","1"
"Li,Nan","1"
"Nagaiah,TharamaniL.","1"
"Brandl,Waltraut","1"
"Jin,Chen","1"
"Schilling,Thorsten","1"
"Gopalram,Keerthiga","1"
"Abraham,B.G.","1"
"Chen,Xingxing","1"
"Rajasekar,SubashS.","1"
"Kuniyil,A.","1"
"Chirila,Valentin","1"
"Ramavathu,LakshmananaikNaik","1"
"Raghunathan,Ravikrishna","1"
"Savitha,Rangasamy","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
