Scopus - Analyze author output

"Author name:","Nagarajan, R."
"Scopus author ID:","56354314500"

"Co-authors:","7"

"Co-author","Co-authored documents"

"Davies,GerardS.","4"
"Sharma,P.V.","3"
"Venkateswarlu,D.","1"
"Ram,V.Sri","1"
"VENKATESWARLU,D.","1"
"Mohan,VakaMurali","1"
"Sanjeevi,R.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
