Scopus - Analyze author output

"Author name:","Krishnaiah, K."
"Scopus author ID:","7004448303"

"Co-authors:","5"

"Co-author","Co-authored documents"

"Murthy,DodlatyVS","4"
"Saravanane,Raman","3"
"Renganathan,Thiruvengadam","1"
"Bandaru,S.VSRKrishna","1"
"SatyaSai,PedapatiMurali","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
