Scopus - Analyze author output

"Author name:","Bhattacharya, Enakshi"
"Scopus author ID:","6701610251"

"Co-authors:","105"

"Co-author","Co-authored documents"

"Chadha,AnjuK.","19"
"Sujatha,Lakshminarayanan","8"
"Fernandez,RennyEdwin","7"
"Bhat,KunchinadkaNarayana","6"
"Narasimhan,KrishnamoorthyL.","5"
"Bhat,Somashekara","5"
"Veeramani,MohanasundaramSulurSulur","4"
"Bapat,D.R.","4"
"Rao,Preeti","4"
"Ratchagar,NoelPrashant","4"
"Vemulachedu,Hareesh","3"
"Pavan,Shanthi","3"
"Mathew,Arun","3"
"Pankove,JacquesI.","3"
"Bhadra,Priyanka","3"
"Basu,Indranil","3"
"Martin,JackR.","3"
"Stolyarova,SaraS.","2"
"Kuang,Jinbo","2"
"Shajahan,M.S.","2"
"Basu,Souvik","2"
"Rani,KailashE.","2"
"Bhattacharya,Shanti","2"
"Judy,MichaelW.","2"
"Daniel,RaiuJoseph","2"
"Nemirovsky,Yael","2"
"Prakash,KottapalliAjayGiri","2"
"Babu,U.Venu","2"
"Krishna,K.Vamsi","2"
"Prabhakar,A.","2"
"Dhabai,Sanjay","2"
"Achar,BalachandraHV","2"
"Sengupta,Sudeshna","2"
"Subramanian,RamanVenkata","2"
"Guha,SubhenduK.","2"
"Yu,Zengqi","1"
"Bhagirath,Narayana","1"
"Shyam,Prakash","1"
"Prabhakar,Amit","1"
"Sugan,Mercy","1"
"Rani,HelenAnitha","1"
"Mahan,A.Harv","1"
"Chawla,Nitin","1"
"Kanhere,Elgar","1"
"Begum,ShehanajNissara","1"
"Raman,ManjulaS.","1"
"Mohanasundaram,S.V.","1"
"VenuBabu,U.","1"
"Madhavi,S.P.","1"
"Collins,GeorgeJ.","1"
"Harikrishna,P.V.","1"
"Pandian,GaneshGanesh","1"
"Pesala,Bala","1"
"Ray,Shaumik","1"
"Joseph,JobyD.","1"
"Mercy,SusanE.","1"
"Shyam,KaruppiahPrakash","1"
"Gupta,AjayDas","1"
"Kumar,C.Suresh","1"
"Sivakumar,KulanthaivelK.","1"
"Zarnani,Hamid","1"
"Reddy,R.RaviKumar","1"
"Mahan,A.H.","1"
"Sreeraman,S.","1"
"Balasubramaniam,KrishnanS.","1"
"Kale,VishwasS.","1"
"SatishKumar,S.","1"
"Kumar,RahulSuresh","1"
"KotiReddy,BhimanadhuniR.","1"
"Kumar,R.Ravi","1"
"Seetharaman,K.","1"
"Vasudevan,Vinita","1"
"Bha,K.N.","1"
"Gupta,NanditaDas","1"
"Pradeep,P.VKrishna","1"
"Kayastha,ArvindMohan","1"
"Goswami,Rahul","1"
"Achar,HarishVBalachandra","1"
"Kifle,Teweldebhran","1"
"Subrahmanyam,AryasomayajulaVB","1"
"SomaSekhar,B.V.","1"
"Ramesh,PeelameduD.","1"
"Katreddi,UdayBhaskar","1"
"Hareesh,Vemulachedu","1"
"Senni,P.","1"
"Natarajan,KanimozhiR.","1"
"Preetha,Radhakrishnan","1"
"Padmaram,Renganathan","1"
"Guruswamy,G.","1"
"Kathel,G.","1"
"Karmalkar,Shreepad","1"
"Kumar,VinodVinoth","1"
"Nagarajan,Ranganathan","1"
"Prakash,SuryaR.","1"
"DasGupta,AmitavaK.","1"
"Chandrakanth,R.","1"
"Sista,ShanmukhaVikrant","1"
"Crandall,RichardS.","1"
"Rani,L.HA","1"
"Arora,Ankit","1"
"Deb,SatyenK.","1"
"Krishnan,Ananth","1"
"Balaji,T.","1"
"DasGupta,Nandita","1"
"Anitha,L.Helen","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
