Scopus - Analyze author output

"Author name:","Mathiazhagan, Chakravarthy"
"Scopus author ID:","22997999500"

"Co-authors:","10"

"Co-author","Co-authored documents"

"Bezzam,Ignatius","5"
"Krishnan,Shoba","4"
"Raja,TezaswiKarthick","3"
"Ramamurthi,B.","1"
"Pavan,Shanthi","1"
"Krishnan,Shoba","1"
"Ramamurthi,Bhaskar","1"
"Maloberti,Franco","1"
"Johri,VinodB.","1"
"Krishnapura,Nagendra","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
