Scopus - Analyze author output

"Author name:","Vasudevan, Krishna"
"Scopus author ID:","7006249324"

"Co-authors:","45"

"Co-author","Co-authored documents"

"Chudamani,Rajagopalan","6"
"Ramamurthi,Bhaskar","6"
"Ramalingam,C.S.","6"
"Giridhar,Krishnamurthy","5"
"Damodharan,Perumal","4"
"Kumar,MaruthiNanda","3"
"Jhunjhunwala,Ashok","3"
"Thomas,VinodV.","3"
"Kumar,VaradarajanJagadeesh","3"
"Rao,P.SasidharaNagendra","3"
"Magninie,WayneH.","2"
"Samal,U.C.","2"
"Swarup,ShantiK.","2"
"NandaKumar,M.R.","2"
"Teja,Jayendra","2"
"Kumaravel,M.","2"
"August,JamesK.","2"
"Rao,K.S.","2"
"Raghavan,Nagarajan","2"
"Ellinger,Thomas","2"
"Hatua,Kamalesh","2"
"Poongothai,C.","2"
"Titus,Jose","2"
"Petzoldt,Jürgen","2"
"Adakane,DarshanV.","1"
"Mishra,MaheshKumar","1"
"Jhunjunwala,Ashok","1"
"Lohia,Piyush","1"
"Sandeep,R.K.","1"
"Lakshminarasamma,N.","1"
"Taleb,Tahar","1"
"Karthikeyan,Kottaismy","1"
"Yadav,Prabhakar","1"
"Narasamma,Lakshmi","1"
"Sadasivam,P.","1"
"Veeraraghavan,S.","1"
"Rao,P.S.","1"
"Saravanan,Subramanian","1"
"Mishra,HimanshuB.","1"
"Rao,P.S.","1"
"Kedarnath,S.","1"
"Singh,Prem","1"
"Pothana,Aravind","1"
"Grossmann,U.","1"
"Sharma,E.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
