Scopus - Analyze author output

"Author name:","Sarathi, Ramanujam"
"Scopus author ID:","7003779585"

"Co-authors:","150"

"Co-author","Co-authored documents"

"Chakravarthy,SatyanarayananR.","19"
"Venkataseshaiah,C.","14"
"Vasa,NileshJayanthilal","13"
"Danikas,MichaelG.","12"
"Tanaka,Toshikatsu","11"
"Sethupathi,Kanikrishnan","8"
"Jayaraman,Kandasamy","7"
"Sindhu,ThiruthimanaKrishnan","6"
"Chandrasekar,Subramaniam","6"
"Kamaraj,Malmurugan","6"
"Sahu,RavindrakumarKumar","6"
"Chakravarthi,SrinivasanR.","5"
"Sharma,ArchanaK.","5"
"Yoshimura,Noboru","5"
"Umamaheswari,Rangasamy","4"
"Rao,Umamaheswar","4"
"Mittal,Lakshya","4"
"Srinivasa,Y.G.","4"
"Nandini,Arya","4"
"Giridhar,A.V.","4"
"Dubey,Vishal","4"
"Debalina,B.","3"
"Griffiths,HuwD.","3"
"Sheema,I.PMerin","3"
"Mittal,KailashChandra","3"
"Koperundevi,G.","3"
"Tewari,SomeshVinayak","3"
"Karpagam,Ramasamy","3"
"Mishra,AshokKumar","3"
"MerinSheema,I.P.","3"
"Reddy,RavulaSugunakar","3"
"Deepa,Subbiah","3"
"Anand,K.V.","3"
"Subramaniam,Aravinth","3"
"Haddad,AbderrahmaneManu","3"
"Jayaganthan,R.","3"
"Rajan,J.Sundara","3"
"Sankar,Binu","3"
"Raju,P.Gani","3"
"Srinivasan,BalajiVasan","2"
"Kamaraj,Muthusamy","2"
"Ramnalis,Pavlos","2"
"KamachiMudali,UthandiK.","2"
"SathieshKumar,V.","2"
"Srijith,K.","2"
"Okamoto,Akira","2"
"Chen,Yu","2"
"Aparna,N.","2"
"Harsha,V.Sri","2"
"Archana,MachireddyS.","2"
"Kumar,V.Sathiesh","2"
"Tavarmani,RashmiS.","2"
"Subramanian,VenkatachalamS.","2"
"PavanKumar,C.LG","2"
"Velmurugan,R.","2"
"Suematsu,Hisayuki","2"
"Mudali,UthandiKamachi","2"
"Das,Supriyo","2"
"Nakamura,Daisuke","2"
"Kumar,ChRaviAnil","2"
"Kshirsagar,RohidasJagannath","2"
"Roy,AmitavaP.","2"
"Venkateswarlu,V.","1"
"Antony,JobinK.","1"
"Bhatt,DavidS.","1"
"Waters,R.T.","1"
"Okada,Tatsuo","1"
"Aryanandiny,B.","1"
"Nagesh,G.","1"
"Kobayashi,Ryouta","1"
"Reid,AlistairJ.","1"
"Majeed,ShafquatSMSAbdul","1"
"Roy,NirmalKumar","1"
"Kumar,Praveen","1"
"Pradhan,ManojKumar","1"
"Oza,K.H.","1"
"SugunakarReddy,R.","1"
"Rajeshkumar,P.","1"
"Ramanan,Aravindakshan","1"
"Kumar,MukeshAshok","1"
"Jiang,Weihua","1"
"AnilKumar,C.R.","1"
"Aleyas,M.V.","1"
"Singh,PrathapD.","1"
"Swarna,M.","1"
"Selvam,ParasuramanPanneer","1"
"Vasa,NileshJ.","1"
"Krishnamurthi,Macwien","1"
"Sridhar,KamakshiN.","1"
"Sharma,SurenderKumar","1"
"Venkatesh,AbhishekSPrasanna","1"
"Kalpana,B.","1"
"Ramu,T.S.","1"
"Vora,RohitKumarH","1"
"Prabu,R.Raja","1"
"Giri,V.Sabari","1"
"Mishra,RajatC.","1"
"Okada,Tatsuo","1"
"Sharma,Archana","1"
"Priya,KrishnaGShanmuga","1"
"Murthy,B.SR","1"
"Acharya,SeemaS.","1"
"Saradhi,A.Vijaya","1"
"Mani,Abirami","1"
"Hicks,YuliaA.","1"
"Wazeem,M.A.","1"
"Roy,Himanshu","1"
"Goyal,MonikaK.","1"
"Umamaheswari,Rengasamy","1"
"Bhattarai,Roshan","1"
"Suematsu,Hisayuki","1"
"Nalmpantis,StefanosL.","1"
"Abirami,R.","1"
"Jayashankar,V.","1"
"Piriyakumar,A.L.","1"
"Murai,Keiichi","1"
"Udayakumar,KanniyappanR.","1"
"Kumar,PareshRajesh","1"
"Gautam,Ribhu","1"
"Rayala,SureshKumar","1"
"Reddy,ChalapathySubbaRami","1"
"SundaraRajan,J.","1"
"Judd,MartinD.","1"
"Karri,ChandraSekhar","1"
"Mittal,KailashChander","1"
"Kalyanasundaram,A.","1"
"Chandra,Romesh","1"
"RajeshKumar,P.","1"
"Sirse,MohanNarayanarao","1"
"SabariGiri,V.","1"
"Kumaravelu,C.","1"
"Sundararajan,RajiD.","1"
"Vinu,R.","1"
"Levi,P.","1"
"Kumar,HarmeshS.","1"
"AnilKumar,C.R.","1"
"Yadav,K.Sahitya","1"
"Das,Sunil","1"
"Yatsui,Kiyoshi","1"
"Kushal,H.Oza","1"
"Rao,Y.Narayana","1"
"Muthukrishnan,Harish","1"
"Nagesh,K.V.","1"
"Albano,Maurizio","1"
"Mulla,IrfanA.","1"
"PratapSingh,Ajay","1"
"Reji,P.","1"
"Selvam,Parasuraman","1"
"Yaday,K.Sahitya","1"
"Pasula,Naresh","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
