Scopus - Analyze author output

"Author name:","Viraraghavan, Janakiraman"
"Scopus author ID:","24473767200"

"Co-authors:","36"

"Co-author","Co-authored documents"

"Kirihata,Toshiaki","2"
"Tummuru,RajeshReddy","2"
"Cestero,Alberto","2"
"Amrutur,BharadwajS.","2"
"Jayaraman,Balaji","1"
"Iyer,SubramanianS.","1"
"Das,BishnuPrasad","1"
"Kempanna,Thejas","1"
"Rainey,DanielJ.","1"
"Sperling,Michael","1"
"Arnold,Norbert","1"
"Ho,Herbert","1"
"Kilker,Robert","1"
"Golz,John","1"
"Knips,ThomasJ.","1"
"Pandharpure,ShrinivasJ.","1"
"Burns,Steven","1"
"Moy,Dan","1"
"Gerhard,ElizabethL.","1"
"Khan,BabarA.","1"
"Yin,Ming","1"
"Raghavan,Ramesh","1"
"Whalen,MichaelR.","1"
"Lee,Dongho","1"
"Kannambadi,Dinesh","1"
"Visvanathan,Vish","1"
"Paone,Chris","1"
"Reyer,Kenneth","1"
"Plass,DonaldW.","1"
"Watts,JosefS.","1"
"Fredeman,Gregory","1"
"Miller,Thomas","1"
"Khan,Faraz","1"
"Leu,Derek","1"
"Mathews,Abraham","1"
"Iyer,SubramanianSundarKumar","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
