Scopus - Analyze author output

"Author name:","Ganti, Radha Krishna"
"Scopus author ID:","35612007700"

"Co-authors:","62"

"Co-author","Co-authored documents"

"Andrews,JeffreyG.","28"
"Haenggi,Martin","25"
"Baccelli,François","6"
"Dhillon,HarpreetS.","6"
"Aniruddhan,Sankaran","5"
"Kuchi,KiranKumar","5"
"Novlan,ThomasDavid","5"
"Ghosh,Arunabha","4"
"Veetil,SreejithT.","3"
"Thangaraj,AndrewE.","3"
"Swamy,PeruruSubrahmanya","3"
"Zhou,Xiangyun","3"
"Fleming,PhilipJ.","2"
"Jindal,Nihar","2"
"Weber,StevenP.","2"
"Nosrat-Makouei,Behrang","2"
"Jagannathan,KrishnaP.","2"
"Hjørungnes,Are","2"
"HeathJr.,RobertW.","2"
"Giacomelli,Riccardo","2"
"Agrawal,Gaurav","2"
"Sharma,Ankit","2"
"Kumar,Abhishek","2"
"Giridhar,Krishnamurthy","2"
"Lin,Xingqin","2"
"Raina,Gaurav","1"
"Gulati,Kapil","1"
"Rao,Bharath","1"
"Mondal,Arijit","1"
"Srinivasa,Sunil","1"
"Jalihal,Devendra","1"
"Sreejith,T.V.","1"
"Evans,BrianLawrence","1"
"Bellam,VenkataPavanKumar","1"
"Vizi,Péter","1"
"Vanka,Sundaram","1"
"Sohn,Illsoo","1"
"Dheeraj,KarraChinmay","1"
"Kasireddy,AnjanReddy","1"
"Gong,Zhenhua","1"
"Nadh,Arjun","1"
"Takei,Ken","1"
"Srikanteswara,Srikathyayani","1"
"Roy,DebabrataA.","1"
"Kumar,SumanKrishna","1"
"Jagannathan,Krishna","1"
"Pulliyakode,SaishankarKatri","1"
"Ramaiyan,Venkatesh","1"
"Koilpillai,RavinderDavid","1"
"Hunter,AndrewM.","1"
"Kumar,Prashant","1"
"Krishnaswamy,AnileshK.","1"
"Lee,Chiahan","1"
"Tisza,Dávid","1"
"Kalyani,Sheetal","1"
"Bhashyam,Srikrishna","1"
"Aravind,Rangarajan","1"
"Sarkar,Sanglap","1"
"Ramasamy,Dinesh","1"
"Perumal,TheekshaAthoor","1"
"Madhow,Upamanyu","1"
"Milleth,J.Klutto","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
