Scopus - Analyze author output

"Author name:","Ramalingam, C. S."
"Scopus author ID:","6602890624"

"Co-authors:","20"

"Co-author","Co-authored documents"

"Chudamani,Rajagopalan","6"
"Vasudevan,Krishna","6"
"Kumaresan,Ramdas","5"
"Murthy,HemaA.","2"
"Jayesh,M.K.","2"
"Vaccaro,RichardJ.","2"
"VanOrmondt,Dirk","2"
"TUFTS,DONALDW.","2"
"Field,RobertL.","1"
"Rao,G.Rajeswar","1"
"Rao,M.Nageshwara","1"
"Vaccaro,RichardJ.","1"
"Venugopalakrishna,Y.R.","1"
"Shah,AbhijitA.","1"
"Shahapurkar,Nilesh","1"
"Kirsteins,IvarsP.","1"
"Rao,Ashwin","1"
"Kumar,RatanVinothRaja","1"
"Vinodh,M.V.","1"
"Thomas,Samuel","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
